downloadKey	numberRecords	totalRecords	numberDatasets
0002731-171025204727650	177	7183456	934
0000683-171219132708484	17	1089934	608
0002934-171219132708484	6	150702	78
0002734-171025204727650	281	17717493	1030
0000671-171219132708484	7	133140	193
0002771-171025204727650	969	13276671	991
0000349-171219132708484	986	47352327	1045
0017391-160910150852091	1	603	47
0028812-200221144449610	3	770	39
0019930-200613084148143	138	8942	39
0027152-190415153152247	1	9735	111
0040468-200221144449610	2	853	51
0040441-200221144449610	2	307	31
0040469-200221144449610	2	970	45
0040439-200221144449610	4	64796	536
0003008-190813142620410	13	58	12
0003009-190813142620410	2	104	16
0002996-190813142620410	3	591	30
0003002-190813142620410	15	844	39
0002994-190813142620410	3	124	15
0003001-190813142620410	2	506	28
0003004-190813142620410	21	1277	36
0003007-190813142620410	7	106	16
0002075-141123120432318	2	31	11
0001996-141123120432318	2	315	23
0002041-141123120432318	2	20	7
0001999-141123120432318	4	67	12
0001990-141123120432318	6	494	14
0010082-141123120432318	7	57	8
0002065-141123120432318	10	89	6
0010057-141123120432318	1	18	4
0002057-141123120432318	4	512	25
0002052-141123120432318	4	485	29
0002064-141123120432318	2	1370	44
0001992-141123120432318	2	65	9
0010093-141123120432318	2	5	4
0002067-141123120432318	1	21	9
0002076-141123120432318	2	160	14
0001995-141123120432318	2	370	18
0002079-141123120432318	2	75	13
0001983-141123120432318	2	7	5
0010072-141123120432318	2	13	8
0010087-141123120432318	2	5	4
0002058-141123120432318	2	45	8
0002055-141123120432318	4	382	19
0010073-141123120432318	1	79	4
0002059-141123120432318	2	55	9
0002056-141123120432318	2	23	6
0010076-141123120432318	1	275	14
0002091-141123120432318	6	701	24
0010042-141123120432318	2	3	2
0002070-141123120432318	1	51	9
0001984-141123120432318	2	75	13
0002050-141123120432318	2	84	16
0010083-141123120432318	2	93	4
0010079-141123120432318	2	2959	51
0002066-141123120432318	2	53	11
0010070-141123120432318	2	527	24
0001991-141123120432318	2	119	5
0001997-141123120432318	2	68	12
0010050-141123120432318	2	276	14
0010091-141123120432318	8	2138	23
0010074-141123120432318	2	3	2
0010071-141123120432318	2	95	10
0002042-141123120432318	4	439	30
0010059-141123120432318	2	21	6
0010044-141123120432318	2	9367	148
0010041-141123120432318	2	277	15
0010056-141123120432318	2	17	7
0045040-200221144449610	7	36249	43
0079785-200221144449610	23158	2422025	191
0010549-190415153152247	16	46933	327
0010560-190415153152247	3	11468	201
0010559-190415153152247	7	10263	257
0010562-190415153152247	173	8675	46
0010873-190415153152247	31	26027	281
0010892-190415153152247	15	17476	208
0010573-190415153152247	61	127538	323
0010569-190415153152247	6	56979	251
0010563-190415153152247	45	356697	577
0010551-190415153152247	513	10663	281
0010566-190415153152247	21	15363	274
0010891-190415153152247	56	410224	802
0010570-190415153152247	14	14525	313
0010885-190415153152247	34	28893	240
0010879-190415153152247	25	58586	356
0014118-190918142434337	15	3652	62
0003401-191105090559680	2	5271	49
0004023-191105090559680	1	3606	145
0002424-190307172214381	5119	6305884	319
0000664-150116162929234	50	2378	42
