downloadKey	numberRecords	totalRecords	numberDatasets
0000509-160803222355964	7	19731	178
0000065-160623103540712	2	36365	142
0000262-170817152713382	2	95766	330
0001035-160623103540712	2	5076	106
0001420-160803222355964	2	169497	276
0000500-160803222355964	2	21652	132
0006134-170714134226665	2	42180	241
0000559-160803222355964	44	46488	225
0000562-160803222355964	8	48532	212
0026757-160910150852091	2	1012	57
0006641-170714134226665	3	16666	192
0005863-170627171947987	2	17698	275
0009581-160118175350007	2	132863	275
0001388-160803222355964	4	121916	491
0001410-160803222355964	4	146697	407
0008872-160526112335914	5	179868	534
0001076-160623103540712	2	666	23
0063306-160910150852091	9	398054	804
0006668-170714134226665	17	127264	454
0001357-160803222355964	6	91575	252
0001354-160803222355964	43	92520	298
0008878-160526112335914	2	94710	252
0002936-170714134226665	2	16055	148
0008823-160623103540712	2	11197	105
0003044-170627171947987	1	14806	230
0039546-160910150852091	2	41455	315
0065145-160910150852091	3	435703	627
0008817-160623103540712	2	8863	33
0001407-160803222355964	2	142175	461
0037835-160910150852091	12	163635	411
0037838-160910150852091	2	166079	463
0000045-170814131059671	6	89804	402
0000521-160803222355964	2	29758	92
0026801-160910150852091	1	2405	41
0000566-160803222355964	2	46234	292
0001061-160623103540712	2	17518	99
0009032-171219132708484	2	582	44
0000480-160803222355964	2	17250	133
0010117-171219132708484	1	49638	196
0000544-160803222355964	2	38557	198
0001713-160803222355964	2	32488	131
0001719-160803222355964	9	101787	240
0000589-160803222355964	2	45498	173
0001050-160623103540712	2	8674	185
0001053-160623103540712	1	13962	126
0065276-160910150852091	8	183726	545
0000547-160803222355964	4	38415	142
0006521-170714134226665	5	45970	235
0038205-160910150852091	6	320727	543
0010073-171219132708484	24	7961	137
0038194-160910150852091	3	299585	358
0065475-160910150852091	4	178084	298
0037855-160910150852091	10	171929	369
0037831-160910150852091	6	157177	255
0001768-170714134226665	2	15572	170
0006667-170714134226665	3	41515	236
0094421-160910150852091	2	22161	150
0005676-170714134226665	6	80075	304
0001756-170714134226665	2	6569	161
0088409-160910150852091	3	14496	187
0005747-170714134226665	5	66686	263
0003103-170714134226665	2	12379	102
0036194-160910150852091	2	49090	211
0005685-170714134226665	4	41038	169
0038185-160910150852091	2	284217	588
0010097-171219132708484	15	5638	87
0008238-160526112335914	10	512593	739
0038173-160910150852091	28	203081	616
0088421-160910150852091	2	29217	207
0011822-180412121330197	201006	572607704	2254
0011815-180412121330197	478466	10062296	1384
0011799-180412121330197	44053	14477313	1176
0011811-180412121330197	11980	4609298	1225
0011818-180412121330197	528920	13224236	1835
0011802-180412121330197	1442856	86285775	7073
0011797-180412121330197	1280111	214472139	3666
0005135-171002173027117	4	754	58
0005733-171002173027117	4	3641	129
0006132-190307172214381	33195	144597	272
0031794-200221144449610	3	717	17
0090394-160910150852091	55	1458	10
0090484-160910150852091	9	616	5
0099392-160910150852091	2	255	13
0099850-160910150852091	14	673	17
0099590-160910150852091	25	974	17
0090516-160910150852091	10	492	11
0099847-160910150852091	11	87	7
0089473-160910150852091	1	108	13
0099384-160910150852091	74	381	12
0099582-160910150852091	66	170	5
0099585-160910150852091	45	119	8
0089411-160910150852091	27	239	5
0099842-160910150852091	11	205	8
0099581-160910150852091	1	41	10
0099390-160910150852091	67771	68101	10
0002882-170627171947987	405	1520	5
0099587-160910150852091	17	224	14
0090517-160910150852091	128	229	7
0099848-160910150852091	44	503	12
0099393-160910150852091	5	463	21
0099442-160910150852091	15	322	13
0089409-160910150852091	27	239	5
0090483-160910150852091	31983	32624	7
0099852-160910150852091	30	43	4
0099589-160910150852091	36	1177	13
0099583-160910150852091	4	232	7
0099586-160910150852091	17	646	27
0027689-190415153152247	3	1917	8
0001602-190813142620410	2	1322	17
0001606-190813142620410	2	93	13
0001609-190813142620410	2	36	9
0001603-190813142620410	2	129	11
0001605-190813142620410	2	2730	19
0001607-190813142620410	2	295	13
0010080-180412121330197	18	720861	149
0004002-191105090559680	15	65884	445
0004000-191105090559680	8	10041	144
0042318-191105090559680	10	7030	119
0042322-191105090559680	11	3897	98
0042323-191105090559680	411	21132	275
0042320-191105090559680	6	5885	124
0042316-191105090559680	9	3995	106
0038111-191105090559680	10	12056	186
0042321-191105090559680	20	10689	184
0042324-191105090559680	110	15061	158
0022205-160910150852091	3	535	22
0022208-160910150852091	4	1250	35
0002091-171113114016250	7162	4062768	164
0023283-180508205500799	3	3045	48
0024366-151016162008034	11264	7945394	1305
0016347-190813142620410	7	1149	32
0002911-190813142620410	3	348	25
0012357-190813142620410	37	550	20
0033079-191105090559680	43	7227	127
0011055-200127171203522	12	1044	29
0024621-191105090559680	12	4902	111
0005996-190813142620410	32	194	16
0017095-190813142620410	9	6312	59
0013820-191105090559680	56	1505	19
0019854-190621201848488	149	3582019	806
0019846-190621201848488	14	1431032	761
0019786-190621201848488	16	317911	612
0020193-190621201848488	5	313686	644
0019819-190621201848488	88	1153786	674
0020169-190621201848488	8	160324	421
0019771-190621201848488	10	187084	495
0019756-190621201848488	25	293794	620
0019824-190621201848488	7	147363	566
0020167-190621201848488	3	2126674	683
0019864-190621201848488	7	1062956	727
0019809-190621201848488	83	4465668	848
0019753-190621201848488	13	596791	690
0019828-190621201848488	32	3774017	834
0020201-190621201848488	2	198904	473
0017092-191105090559680	712	327999	617
0019876-190621201848488	2	809207	742
0019880-190621201848488	7	1074102	570
0020199-190621201848488	16	315443	600
0006701-190621201848488	11926	1580458	433
0010111-181108115102211	2798	1844310	248
0017204-191105090559680	7	5095	65
0001255-190415153152247	1294	78532	343
0001034-180508205500799	22	37957	456
0026911-190415153152247	94264	1522700	844
0015057-190415153152247	94070	2729211	961
0028826-190918142434337	1	2635	42
0004208-190813142620410	1	40	10
0000113-200127171203522	17	751	25
0022453-190918142434337	63	6271	34
0016566-190813142620410	13	18046	299
0022629-190918142434337	12	10766	295
0016501-190813142620410	12	9248	178
0016567-190813142620410	18	3738	151
0016513-190813142620410	10	4228	112
0005992-190918142434337	11	6914	127
0016569-190813142620410	11	2953	96
0016515-190813142620410	9	2518	76
0016580-190813142620410	13	9639	163
0004984-200221144449610	6578	2848789	1396
0079788-160910150852091	1280513	179907697	3198
0003215-190918142434337	15	63998	439
0002263-180824113759888	5	8155	274
0002037-180824113759888	6	1578	58
0002408-180824113759888	2	49266	549
0002367-180824113759888	7	610865	1220
0002422-180824113759888	13	400733	932
0002346-180824113759888	4	331848	477
0002086-180824113759888	21	2060	83
0002309-180824113759888	2	631808	849
0002475-180824113759888	6	150139	1026
0002493-180824113759888	12	144243	569
0002490-180824113759888	9	622222	1197
0002469-180824113759888	10	216985	750
0023620-180508205500799	20	52390	57
0004384-200221144449610	9	13042	98
0003158-171002173027117	1202	4757104	633
0003146-171002173027117	96416	19853733	506
0003152-171002173027117	47731	1522820	317
0014351-190918142434337	124040	173879290	3834
0027780-181108115102211	3343935	189336934	3063
0003822-180508205500799	1280111	215046618	3674
0047279-181108115102211	475464	34400266	3508
0032497-190415153152247	184	1131	31
0012252-190415153152247	5	24072	221
0010157-190415153152247	107	248341	470
0010184-190415153152247	188	129107	377
0010078-190415153152247	467	9716	8
0011038-190415153152247	92	153984	467
0012232-190415153152247	5	85077	268
0010756-190415153152247	13	113810	302
0012649-190415153152247	37	5179	107
0010109-190415153152247	5	9014	137
0010737-190415153152247	27	33927	239
0011041-190415153152247	27	58650	416
0012645-190415153152247	92	243299	539
0010172-190415153152247	170	259836	277
0012234-190415153152247	12	28883	140
0012248-190415153152247	5	5138	132
0088403-160910150852091	16	4165	49
0006528-190320150433242	3	15378	262
0016271-190918142434337	6	535	20
0034370-191105090559680	3170	1676287	1300
0034374-191105090559680	4178	1215162	906
0034346-191105090559680	4597	1588503	1305
0004598-190307172214381	9356	668614	946
0005677-190813142620410	2437498	170626122	12374
0007714-190320150433242	7806747	1300275993	23247
0004210-141123120432318	13	623	30
0002665-180412121330197	5	193885	124
0010298-180412121330197	11	816251	622
0009335-180412121330197	5	50495	83
0006279-180412121330197	6	69840	153
0006316-180412121330197	346	308520	289
0006271-180412121330197	10	72778	127
0004950-180412121330197	1	18357	117
0002667-180412121330197	11	7752	129
0009340-180412121330197	12	42731	88
0006312-180412121330197	15	341676	153
0006760-180412121330197	24	321413	215
0002670-180412121330197	2	196180	218
0003834-180412121330197	1	174314	148
0001416-180412121330197	4	10101	53
0001413-180412121330197	10	200049	309
0008831-180412121330197	343	138655	258
0003830-180412121330197	25	211781	287
0002659-180412121330197	1	20754	61
0002663-180412121330197	10	601681	175
0008836-180412121330197	6	662297	183
0004944-180412121330197	1	11213	86
0002672-180412121330197	11	260667	359
0009372-181003121212138	1	390	22
0004532-180131172636756	1	1261	57
0001677-170826194755519	1	11769	87
0018797-190918142434337	12	9260	273
0005395-190918142434337	16	10917	357
0008671-190813142620410	2	429	4
0002860-170627171947987	1	10118	19
0030798-191105090559680	743	17464	104
0030801-191105090559680	104	17318	41
0030805-191105090559680	3	57	7
0002324-200221144449610	34	10300	45
0030814-191105090559680	20	27272	373
0030806-191105090559680	3	1659	68
0030800-191105090559680	6	1312	32
0030803-191105090559680	79	37004	123
0030822-191105090559680	3	44943	373
0030802-191105090559680	226	74541	298
0030799-191105090559680	1	1627	31
0034860-191105090559680	64	417006	1194
0078259-160910150852091	2	427	37
0079091-160910150852091	2	7029	167
0063997-160910150852091	2	1750	145
0079028-160910150852091	2	8927	173
0079115-160910150852091	168	8115	72
0077199-160910150852091	6	1109	21
0063636-160910150852091	2	2777	181
0077193-160910150852091	10	344	27
0078275-160910150852091	18	8019	73
0077269-160910150852091	10	6693	182
0077207-160910150852091	630	40601	236
0085829-160910150852091	7	4136	74
0077277-160910150852091	2	732	16
0008651-180412121330197	207	67618	159
0061671-160910150852091	7	445554	966
0027070-190415153152247	22	2156	48
0011304-190813142620410	6	5376	144
0011320-190813142620410	75	27098	259
0004326-160526112335914	16	40342	65
0021752-180131172636756	597	7761	62
0031094-180508205500799	34	72203	197
0011327-190918142434337	2	193	23
0004703-181108115102211	95938	6055841	358
0018866-181003121212138	1082	2404786	488
0005779-190918142434337	15	193183	485
0005780-190918142434337	16	81798	329
0000292-171025204727650	2	355	24
0000302-171025204727650	190	641	24
0000288-171025204727650	3	305	12
0000276-171025204727650	1	1399	54
0000328-171025204727650	2	514	23
0000382-171025204727650	4	1469	60
0000316-171025204727650	4	355	23
0019566-180131172636756	8513885	1692144487	19131
0028753-190415153152247	9	360261	181
0027373-190415153152247	8	1966002	317
0032920-190415153152247	7	129671	184
0032797-190415153152247	2	6344	62
0030001-190415153152247	1	16037	46
0029366-190415153152247	4	3779	57
0000196-190621201848488	7	59279	132
0000190-190621201848488	5	13894	64
0000193-190621201848488	9	20186	113
0030060-190415153152247	10	25780	85
0027508-190415153152247	4	522	21
0028847-190415153152247	1	16427	54
0000125-190621201848488	68	2559830	340
0000134-190621201848488	8	288082	115
0029360-190415153152247	2	15845	12
0000131-190621201848488	2	6100	56
0032788-190415153152247	6	84174	160
0030013-190415153152247	7	18351	83
0027173-190415153152247	2	126172	154
0000093-190621201848488	4	18658	100
0028856-190415153152247	1	6986	98
0029410-190415153152247	7	138079	139
0028765-190415153152247	12	20452	136
0028768-190415153152247	1	16870	61
0029416-190415153152247	7	78930	148
0027323-190415153152247	3	110894	152
0000181-190621201848488	4	113756	205
0032118-190415153152247	4	25177	83
0000152-190621201848488	3	61617	129
0032083-190415153152247	3	34444	93
0027540-190415153152247	1	101224	79
0032086-190415153152247	3	662591	119
0029484-190415153152247	2	38767	91
0027332-190415153152247	2	9822	92
0032197-190415153152247	2	29091	80
0027588-190415153152247	4	15017	103
0000104-190621201848488	1	15214	78
0000169-190621201848488	3	23670	96
0027526-190415153152247	10	104319	152
0027585-190415153152247	2	14081	102
0030084-190415153152247	5	18800	83
0029989-190415153152247	13	4127444	608
0029490-190415153152247	2	62762	65
0030087-190415153152247	1	44582	97
0029436-190415153152247	2	10579	90
0029983-190415153152247	4	4504	79
0000146-190621201848488	3	12995	73
0032188-190415153152247	5	22564	74
0029510-190415153152247	4	4734	54
0029398-190415153152247	9	35991	134
0000084-190621201848488	7	53697	94
0027558-190415153152247	4	23472	83
0029493-190415153152247	2	91278	203
0000063-190621201848488	17	26505	123
0027149-190415153152247	38	962700	198
0027579-190415153152247	2	288430	160
0027576-190415153152247	7	67115	141
0028870-190415153152247	3	31067	108
0030057-190415153152247	4	8711	77
0027591-190415153152247	19	603517	281
0027594-190415153152247	6	12233	90
0027917-190415153152247	3	62047	101
0028027-190415153152247	3	2255	45
0028033-190415153152247	70	43009	65
0028867-190415153152247	6	169413	310
0028191-190415153152247	10	2411212	306
0028836-190415153152247	1	14308	85
0028670-190415153152247	5	17169	113
0027165-190415153152247	1	4827637	183
0032205-190415153152247	7	91627	164
0027162-190415153152247	1	62905	94
0027328-190415153152247	11	220869	268
0027322-190415153152247	1	12742	86
0027904-190415153152247	2	19023	87
0027938-190415153152247	3	6159	71
0032108-190415153152247	4	208663	125
0032117-190415153152247	2	82947	95
0029292-190415153152247	1	8825	116
0028767-190415153152247	1	530	35
0032211-190415153152247	19	25438	149
0027578-190415153152247	6	22052	99
0027572-190415153152247	4	3934	62
0027581-190415153152247	5	8966	52
0028185-190415153152247	2	24426	85
0028188-190415153152247	2	58961	153
0028661-190415153152247	97	13036	69
0024209-190415153152247	6	6938	74
0028667-190415153152247	8	134075	142
0028664-190415153152247	7	42044	66
0032092-190415153152247	3	13531	94
0032765-190415153152247	3	361041	104
0029295-190415153152247	3	20266	105
0000098-190621201848488	3	1421	29
0029424-190415153152247	6	22744	149
0027400-190415153152247	3	18052	80
0028845-190415153152247	1	2480	37
0027409-190415153152247	3	3755	52
0028752-190415153152247	4	13355	104
0032780-190415153152247	3	10432	79
0000095-190621201848488	13	104576	138
0032774-190415153152247	5	11257	46
0000092-190621201848488	2	32918	118
0032771-190415153152247	7	30336	122
0028181-190415153152247	5	108766	178
0028157-190415153152247	29	67931	109
0030077-190415153152247	9	25469	143
0030071-190415153152247	7	26946	69
0033399-190415153152247	7	19047	134
0030074-190415153152247	4	53843	126
0030011-190415153152247	4	18905	84
0032759-190415153152247	106	43368	104
0027307-190415153152247	4	10543	48
0032802-190415153152247	6	55505	120
0027512-190415153152247	127	8970	51
0028909-190415153152247	4	445751	213
0032895-190415153152247	7	125245	144
0000138-190621201848488	9	52684	115
0028854-190415153152247	1	4771	50
0029325-190415153152247	6	87043	113
0029328-190415153152247	2	58820	12
0028749-190415153152247	3	25286	134
0028740-190415153152247	2	15839	83
0029907-190415153152247	8	29457	103
0027563-190415153152247	9	162762	214
0028649-190415153152247	8	167673	233
0028652-190415153152247	5	7412	76
0032814-190415153152247	3	14649	79
0028655-190415153152247	1	404	21
0032817-190415153152247	2	8591	69
0027590-190415153152247	1	7925	55
0028791-190415153152247	8	175602	181
0032147-190415153152247	9	1265798	161
0031978-190415153152247	4	1244753	138
0032126-190415153152247	1	22879	58
0027542-190415153152247	2	24477	61
0000150-190621201848488	19	59279	128
0032144-190415153152247	2	37815	69
0027316-190415153152247	5	10011	79
0027319-190415153152247	1	23158	79
0000168-190621201848488	4	7511	68
0032183-190415153152247	7	68482	142
0027334-190415153152247	3	17766	76
0027343-190415153152247	4	90418	197
0000177-190621201848488	3	4247	47
0027391-190415153152247	1	69950	85
0031975-190415153152247	1	100284	172
0029506-190415153152247	2	278107	87
0000186-190621201848488	8	15084	64
0027376-190415153152247	2	6012961	305
0027367-190415153152247	4	97386	182
0029338-190415153152247	2	18245	61
0027539-190415153152247	6	77604	133
0027533-190415153152247	4	126552	188
0031383-190415153152247	5	14668	86
0028146-190415153152247	3	9264	80
0029335-190415153152247	3	10478	65
0032125-190415153152247	3	23787	110
0028152-190415153152247	1	82605	123
0032131-190415153152247	1	55020	77
0031386-190415153152247	1	82832	71
0027398-190415153152247	3	62535	68
0027330-190415153152247	2	26600	119
0027354-190415153152247	9	161176	105
0029326-190415153152247	28	30437	17
0027586-190415153152247	2	23726	69
0027160-190415153152247	1	18886	93
0029329-190415153152247	2	24413	40
0029323-190415153152247	5	13183	98
0028196-190415153152247	6	32967	130
0030047-190415153152247	2	8522	64
0028869-190415153152247	1	2035	44
0029294-190415153152247	5	44262	116
0032204-190415153152247	3	42567	79
0030041-190415153152247	8	34826	99
0000109-190621201848488	6	59928	56
0000059-190621201848488	7	43263	128
0029979-190415153152247	13	267168	233
0027577-190415153152247	5	27849	108
0029485-190415153152247	3	24277	108
0028208-190415153152247	3	274143	140
0027360-190415153152247	9	86816	157
0032781-190415153152247	16	37420	129
0000197-190621201848488	1	149469	165
0032784-190415153152247	6	23918	59
0027327-190415153152247	5	66160	132
0000191-190621201848488	4	49709	135
0027389-190415153152247	1	26833	69
0028167-190415153152247	2	890	31
0032152-190415153152247	4	125054	167
0032158-190415153152247	3	720130	139
0029309-190415153152247	2	72840	108
0032140-190415153152247	3	55469	134
0032149-190415153152247	1	92401	82
0027321-190415153152247	4	14492	97
0029920-190415153152247	6	79348	135
0028772-190415153152247	9	271956	241
0028855-190415153152247	1	1415	44
0027309-190415153152247	3	253314	174
0028131-190415153152247	2	2437	24
0029888-190415153152247	5	94298	115
0032134-190415153152247	8	133177	122
0032137-190415153152247	10	132999	181
0028134-190415153152247	24	91992	218
0032793-190415153152247	3	4070	39
0028155-190415153152247	30	74105	139
0032772-190415153152247	6	12288	92
0028214-190415153152247	17	192238	248
0032801-190415153152247	10	72741	139
0032748-190415153152247	9	8663	33
0030018-190415153152247	12	72304	101
0029908-190415153152247	254	8455	63
0028846-190415153152247	4	36455	162
0028834-190415153152247	3	17303	120
0028778-190415153152247	4	94453	98
0028775-190415153152247	3	91409	154
0028760-190415153152247	13	235893	213
0000179-190621201848488	3	9608	90
0032818-190415153152247	2	972	54
0031397-190415153152247	1	111889	140
0027390-190415153152247	3	31506	132
0000079-190621201848488	14	133840	225
0000076-190621201848488	3	1771	37
0031973-190415153152247	4	40311	91
0027384-190415153152247	1	3140	63
0029483-190415153152247	5	43838	147
0028129-190415153152247	2	2291	15
0027362-190415153152247	3	328672	196
0032900-190415153152247	7	101235	158
0027368-190415153152247	30	38800	91
0030055-190415153152247	2	204	36
0032746-190415153152247	3	1667	22
0000185-190621201848488	4	8597	54
0030043-190415153152247	1	10469	83
0029531-190415153152247	1	68842	135
0032755-190415153152247	62	52660	104
0028132-190415153152247	3	6484	52
0032824-190415153152247	1	5047	31
0027187-190415153152247	5	29517	104
0032151-190415153152247	1	9826	67
0027375-190415153152247	3	40835	79
0027538-190415153152247	4	17433	82
0028789-190415153152247	7	1034349	157
0032809-190415153152247	3	23654	103
0032806-190415153152247	6	8212	86
0027544-190415153152247	13	501597	283
0028219-190415153152247	1	4965	58
0028213-190415153152247	5	40259	155
0000151-190621201848488	2	45312	78
0027190-190415153152247	4	27904	124
0000127-190621201848488	1	12913	61
0000139-190621201848488	2	16725	72
0028645-190415153152247	11	157870	148
0000130-190621201848488	3	11005	53
0027175-190415153152247	3	61347	117
0032139-190415153152247	3	28360	108
0029896-190415153152247	11	857	56
0029890-190415153152247	6	918525	124
0027565-190415153152247	24	122363	159
0030076-190415153152247	10	59989	120
0029293-190415153152247	1	22922	68
0028669-190415153152247	5	61799	148
0028153-190415153152247	11	209901	214
0028159-190415153152247	2	21370	73
0029498-190415153152247	189	25569	62
0029915-190415153152247	4	34312	100
0000061-190621201848488	10	78736	146
0030022-190415153152247	3	57260	96
0032776-190415153152247	2	8919	62
0027900-190415153152247	5	7399	100
0028865-190415153152247	6	169413	310
0028150-190415153152247	4	22673	103
0028735-190415153152247	2	4492	51
0028862-190415153152247	11	4088236	588
0029921-190415153152247	2	14546	74
0028144-190415153152247	4	18307	131
0032203-190415153152247	4	7748	39
0000043-190621201848488	5	25161	110
0028165-190415153152247	3	690880	171
0030067-190415153152247	3	5296	79
0028162-190415153152247	5	13268	66
0000094-190621201848488	8	24190	98
0030088-190415153152247	4	14843	92
0028186-190415153152247	4	14910	98
0029981-190415153152247	10	1102646	98
0028195-190415153152247	3	43181	126
0029417-190415153152247	1	43782	101
0029999-190415153152247	3	150146	173
0029405-190415153152247	1	45021	65
0029432-190415153152247	2	4955	76
0029296-190415153152247	3	528736	171
0029290-190415153152247	6	809043	149
0013954-181108115102211	40	387416	244
0013970-181108115102211	14	12930	41
0013969-181108115102211	13	1785	32
0014014-181108115102211	9	3495	37
0014364-181108115102211	94	31744	41
0013958-181108115102211	7	632	21
0013959-181108115102211	271	4630157	1029
0013966-181108115102211	25	1351549	922
0014386-181108115102211	141	84484	47
0007212-190415153152247	1	519	53
0014611-190415153152247	125	410	28
0006632-190415153152247	2	740	61
0012656-190415153152247	3	5924	104
0014621-190415153152247	2	989	35
0043588-181108115102211	6	61286	321
0003554-181108115102211	2	524	23
0043458-181108115102211	16	11324	100
0003622-180508205500799	67771	68068	7
0006087-170627171947987	1	2748	31
0011525-180131172636756	22	32235	434
0002878-180131172636756	8	3378	175
0010062-190813142620410	122	85415	148
0031838-190918142434337	5	1445	37
0003210-150922153815467	3	651	51
0003161-150922153815467	14	531	46
0003407-150922153815467	10	595	43
0003275-150922153815467	6	37103	67
0003220-150922153815467	26	117729	189
0002718-150922153815467	4	12472	70
0003257-150922153815467	13	1368	48
0005304-150922153815467	4	338	35
0003285-150922153815467	6	1712	56
0003282-150922153815467	10	6218	44
0003165-150922153815467	6	475	36
0003226-150922153815467	23	457	40
0003230-150922153815467	5	370	20
0003224-150922153815467	126	1151	48
0003212-150922153815467	75	23470	170
0003247-150922153815467	61	10482	152
0003277-150922153815467	3	1573	52
0003262-150922153815467	1	2727	59
0003135-150922153815467	9	437	41
0003268-150922153815467	3	59	13
0003340-150922153815467	23	1206	75
0003222-150922153815467	18	1541	90
0003291-150922153815467	1	263	24
0003447-150922153815467	32	885	48
0003159-150922153815467	18	158185	161
0003266-150922153815467	25	550	43
0003353-150922153815467	29	465	45
0003270-150922153815467	18	2471	123
0003322-150922153815467	16	2194	54
0003319-150922153815467	18	1836	83
0003279-150922153815467	22	78701	110
0003276-150922153815467	2	50873	66
0003127-150922153815467	49	899	45
0003320-150922153815467	4	1616	47
0003255-150922153815467	1	534	38
0003216-150922153815467	7	92133	129
0003293-150922153815467	132	13482	73
0003432-150922153815467	38	27753	153
0003429-150922153815467	3	1397	46
0024035-191105090559680	24	482	16
0015036-200127171203522	21	12120	95
0023984-190415153152247	1	292450	453
0050005-181108115102211	19	122443	529
0053721-160910150852091	3	367	30
0069036-160910150852091	5129	886031	352
0057880-160910150852091	55	487759	149
0021892-191105090559680	124051	70342219	1577
0016957-190621201848488	13	595479	455
0006345-190307172214381	1	5871	55
0000036-190307172214381	2	1443	92
0000011-190307172214381	18	7916	100
0000034-190307172214381	6	2605	39
0002959-141024112412452	23	8189	52
0027041-190415153152247	3	1180	47
0015961-181003121212138	26	637111	219
0004487-200127171203522	205	268469	979
0000537-200127171203522	44712	35020062	342
0016084-190918142434337	4	108753	43
0005341-170826194755519	40	40	1
0005167-160526112335914	808	701844	89
0004394-190415153152247	120	2615	102
0004398-190415153152247	2	725	66
0004572-150922153815467	3	301140	20
0006266-150922153815467	1	82877	97
0024719-151016162008034	25	305929	27
0014984-181003121212138	1	46541	34
0003712-160623103540712	9	102165	146
0014996-181003121212138	1	37741	122
0001431-150922153815467	10	113778	21
0004578-150922153815467	12	294000	24
0015003-181003121212138	1	193114	44
0017078-160910150852091	9	102054	135
0013456-180824113759888	1	10469	21
0030421-160910150852091	4	67374	79
0005871-141024112412452	2	101073	110
0004861-150922153815467	30	265319	29
0033386-160910150852091	1	76968	62
0001429-150922153815467	5	25494	17
0008671-141123120432318	6	57589	19
0000076-150130164440678	30	265172	26
0013268-180824113759888	2	186728	78
0004596-150922153815467	12	136487	24
0008673-141123120432318	5	56436	19
0013335-180824113759888	2	66712	35
0000072-150130164440678	9	70279	24
0029959-160910150852091	1	76966	62
0001406-150922153815467	2	108193	20
0002421-150922153815467	3	10671	15
0000869-150922153815467	9	246164	21
0000878-150922153815467	7	68630	23
0004574-150922153815467	13	199005	23
0009220-190320150433242	5	1551	55
0034225-191105090559680	12	5491	24
0027618-191105090559680	65	2331	23
0028641-191105090559680	48656	4346187	2061
0034223-191105090559680	231236	13615475	3021
0006190-171025204727650	2054	805072	180
0029371-160910150852091	2	2357	108
0029370-160910150852091	12	7860	132
0004229-190621201848488	61797	18133306	2622
0008817-160822134323880	377	6262	29
0002613-180412121330197	181	6513	116
0017237-190415153152247	1280	9195	46
0003054-150811131857512	5	3721	64
0003088-150811131857512	3	81	8
0003120-150811131857512	1	15	8
0024401-190918142434337	87	169	7
0024482-190918142434337	3	562	21
0024582-190918142434337	2	1179	81
0003045-150811131857512	5	3175	28
0024576-190918142434337	12	4761	30
0003070-150811131857512	3	235	12
0003042-150811131857512	5	702	15
0024535-190918142434337	1	20	6
0024538-190918142434337	2	4563	123
0024448-190918142434337	90	1443	34
0024475-190918142434337	3	605	45
0003102-150811131857512	10	741	16
0003105-150811131857512	31	2544	6
0003111-150811131857512	1	77	7
0003126-150811131857512	58	3804	51
0024442-190918142434337	5	35195	159
0024445-190918142434337	53	6447	41
0003135-150811131857512	15	29841	103
0003138-150811131857512	2	764	48
0003097-150811131857512	1	8086	39
0024533-190918142434337	1	13833	57
0024456-190918142434337	1	1997	71
0024578-190918142434337	15	35549	201
0003024-150811131857512	2	498	16
0024411-190918142434337	12	1003	25
0003101-150811131857512	2	1907	75
0003113-150811131857512	1	34706	68
0003075-150811131857512	8	24904	72
0003072-150811131857512	1	745	10
0003069-150811131857512	3	1404	14
0024569-190918142434337	1	9172	40
0024441-190918142434337	5	884	19
0024518-190918142434337	1	32	9
0024447-190918142434337	5	4244	42
0024560-190918142434337	1	123	12
0024527-190918142434337	13	178	19
0024459-190918142434337	133	38368	129
0024483-190918142434337	3	395	25
0024539-190918142434337	65	3448	23
0024551-190918142434337	4	673	20
0024486-190918142434337	1	277	14
0024489-190918142434337	8	30663	140
0024548-190918142434337	27	57715	122
0024477-190918142434337	1	2641	41
0003106-150811131857512	3	15598	92
0003137-150811131857512	336	444	8
0003103-150811131857512	9	918	27
0024543-190918142434337	31	4494	14
0024540-190918142434337	11	1629	37
0024574-190918142434337	1	1621	47
0003034-150811131857512	3	2374	27
0003071-150811131857512	14	30431	28
0024568-190918142434337	58	6423	91
0003043-150811131857512	3	14772	94
0003040-150811131857512	2	91	18
0003031-150811131857512	3	89660	71
0003093-150811131857512	12	65	12
0024534-190918142434337	12	1143	17
0024437-190918142434337	2	228	28
0024440-190918142434337	6	1935	42
0003128-150811131857512	149	1880	31
0024458-190918142434337	5	3950	113
0024580-190918142434337	336	963	6
0024427-190918142434337	3	20107	122
0024552-190918142434337	2	18665	139
0003025-150811131857512	1	11306	80
0024531-190918142434337	1	24	7
0003055-150811131857512	39	16093	69
0003046-150811131857512	3	2306	23
0003058-150811131857512	2	758	27
0024430-190918142434337	3	854	34
0024412-190918142434337	1	10119	122
0024561-190918142434337	1	196	16
0003127-150811131857512	1	696	16
0024484-190918142434337	14	37824	33
0003098-150811131857512	12	1096	8
0024519-190918142434337	3	119	11
0024419-190918142434337	1	995	21
0024553-190918142434337	1	11	6
0024550-190918142434337	1	129	10
0024461-190918142434337	33	749	17
0024544-190918142434337	3	83470	140
0024473-190918142434337	2	146	18
0024558-190918142434337	7	6778	49
0024464-190918142434337	2	2389	39
0024570-190918142434337	149	4067	69
0003118-150811131857512	7	4957	35
0003112-150811131857512	4	4656	15
0003056-150811131857512	33	695	14
0003065-150811131857512	1	3387	36
0003041-150811131857512	6	849	31
0003109-150811131857512	27	41162	81
0049135-181108115102211	72	14150	57
0047058-181108115102211	644	15615	75
0033098-190415153152247	51	1498	32
0002728-190415153152247	2	67	8
0008940-180730143533302	7	7803	319
0008880-180730143533302	1	168	41
